Date,Close/Last,Volume,Open,High,Low
11/15/2024,$68.87,5824108,$74.50,$74.50,$68.77
11/14/2024,$74.32,2269445,$75.57,$76.35,$74.20
11/13/2024,$75.21,2774962,$75.78,$78.5678,$75.10
11/12/2024,$76.62,2906072,$76.15,$77.74,$75.75
11/11/2024,$77.12,3474309,$74.53,$77.21,$73.85
11/08/2024,$73.82,4265895,$71.49,$74.1383,$70.76
11/07/2024,$72.03,3187192,$72.60,$72.89,$70.99
11/06/2024,$72.27,4065456,$71.96,$72.9699,$71.1101
11/05/2024,$69.67,5511608,$67.23,$71.27,$67.0003
11/04/2024,$67.18,6687389,$64.62,$69.82,$64.511
11/01/2024,$65.70,6782373,$63.35,$66.00,$63.0003
10/31/2024,$64.08,21958660,$68.00,$68.75,$60.05
10/30/2024,$77.51,7243008,$76.915,$79.29,$76.08
10/29/2024,$76.41,1956170,$76.17,$77.055,$75.06
10/28/2024,$76.05,2030290,$75.93,$77.2499,$75.61
10/25/2024,$75.27,2281507,$74.66,$76.2299,$74.25
10/24/2024,$74.04,2287619,$74.00,$74.76,$73.55
10/23/2024,$73.50,3738429,$76.33,$76.93,$72.72
10/22/2024,$76.79,1661615,$76.65,$77.26,$76.01
10/21/2024,$77.00,2997231,$79.65,$79.90,$76.42
10/18/2024,$80.07,2874152,$78.61,$80.20,$78.24
10/17/2024,$76.95,2128438,$77.09,$78.30,$76.4981
10/16/2024,$77.56,2893794,$79.01,$80.77,$76.53
10/15/2024,$78.93,3002652,$76.27,$79.43,$76.20
10/14/2024,$76.36,2932504,$77.96,$78.147,$76.155
10/11/2024,$78.37,2212496,$77.27,$79.03,$77.24
10/10/2024,$77.37,2056900,$77.37,$78.56,$76.3263
10/09/2024,$77.40,2621173,$78.47,$78.70,$76.795
10/08/2024,$78.57,2535069,$75.63,$78.74,$75.63
10/07/2024,$76.35,2585309,$75.97,$77.49,$75.28
10/04/2024,$75.89,1742754,$76.71,$77.30,$74.95
10/03/2024,$75.45,2021857,$73.65,$75.54,$73.34
10/02/2024,$74.18,2031877,$73.84,$74.76,$73.28
10/01/2024,$74.34,2987014,$75.66,$76.61,$73.18
09/30/2024,$74.66,2374147,$75.32,$75.44,$73.72
09/27/2024,$74.41,2841548,$74.40,$76.00,$74.17
09/26/2024,$73.70,3691871,$73.88,$74.48,$71.74
09/25/2024,$74.01,3146736,$75.90,$76.10,$73.58
09/24/2024,$76.36,3077879,$74.11,$76.51,$73.73
09/23/2024,$73.80,2734605,$75.96,$76.3173,$73.76
09/20/2024,$76.02,4063080,$76.78,$77.94,$75.60
09/19/2024,$77.45,4290578,$79.47,$79.65,$76.4133
09/18/2024,$77.36,5671872,$76.18,$78.69,$76.00
09/17/2024,$74.67,2773325,$75.33,$76.3999,$74.42
09/16/2024,$74.37,2601747,$74.23,$74.94,$72.7309
09/13/2024,$74.69,3092179,$74.69,$75.45,$73.67
09/12/2024,$74.13,7546171,$74.65,$75.27,$72.46
09/11/2024,$70.15,4670171,$68.11,$70.20,$66.95
09/10/2024,$65.66,2064497,$66.07,$66.19,$64.11
09/09/2024,$65.41,2507541,$64.37,$66.605,$64.15
09/06/2024,$64.37,3196270,$66.81,$67.84,$63.69
09/05/2024,$66.70,4953601,$66.85,$68.40,$65.3866
09/04/2024,$63.55,2276207,$64.37,$65.93,$63.28
09/03/2024,$65.22,2340714,$67.64,$67.64,$64.91
08/30/2024,$67.77,6091010,$68.70,$68.83,$63.83
08/29/2024,$68.44,3398270,$67.45,$69.75,$67.36
08/28/2024,$66.85,3319212,$69.28,$69.28,$66.31
08/27/2024,$69.74,2598466,$69.40,$70.68,$68.8755
08/26/2024,$69.60,3866672,$69.43,$70.4846,$68.30
